prefix,value_label,value_label_split,value
dbpprop,academicDoctoralAdvisors,"['academic', 'Doctoral', 'Advisors']",http://dbpedia.org/property/academicDoctoralAdvisors
dbpprop,academicHead,"['academic', 'Head']",http://dbpedia.org/property/academicHead
dbpprop,academicHeadOfSchool,"['academic', 'Head', 'Of', 'School']",http://dbpedia.org/property/academicHeadOfSchool
dbpprop,accidentPlace,"['accident', 'Place']",http://dbpedia.org/property/accidentPlace
dbpprop,accn,['accn'],http://dbpedia.org/property/accn
dbpprop,accompanist,['accompanist'],http://dbpedia.org/property/accompanist
dbpprop,accountain,['accountain'],http://dbpedia.org/property/accountain
dbpprop,accreditation(s),['accreditation'],http://dbpedia.org/property/accreditation(s)
dbpprop,accredited,['accredited'],http://dbpedia.org/property/accredited
dbpprop,accredition,['accredition'],http://dbpedia.org/property/accredition
dbpprop,accw,['accw'],http://dbpedia.org/property/accw
dbpprop,achachampion,['achachampion'],http://dbpedia.org/property/achachampion
dbpprop,achatourneys,['achatourneys'],http://dbpedia.org/property/achatourneys
dbpprop,achsabstandderfahrgestelle,['achsabstandderfahrgestelle'],http://dbpedia.org/property/achsabstandderfahrgestelle
dbpprop,actingEditor,"['acting', 'Editor']",http://dbpedia.org/property/actingEditor
dbpprop,actingGovernor,"['acting', 'Governor']",http://dbpedia.org/property/actingGovernor
dbpprop,actingexecutivedirector,['actingexecutivedirector'],http://dbpedia.org/property/actingexecutivedirector
dbpprop,actors,['actors'],http://dbpedia.org/property/actors
dbpprop,actresses,['actresses'],http://dbpedia.org/property/actresses
dbpprop,actualPosition,"['actual', 'Position']",http://dbpedia.org/property/actualPosition
dbpprop,add,['add'],http://dbpedia.org/property/add
dbpprop,add'lMusic,"['add', 'l', 'Music']",http://dbpedia.org/property/add'lMusic
dbpprop,additionalInformation,"['additional', 'Information']",http://dbpedia.org/property/additionalInformation
dbpprop,"additionalMusic,Lyrics","['additional', 'Music', 'Lyrics']","http://dbpedia.org/property/additionalMusic,Lyrics"
dbpprop,additionalPhotography,"['additional', 'Photography']",http://dbpedia.org/property/additionalPhotography
dbpprop,additionalPodiums,"['additional', 'Podiums']",http://dbpedia.org/property/additionalPodiums
dbpprop,addresS,"['addres', 'S']",http://dbpedia.org/property/addresS
dbpprop,adelaideColor,"['adelaide', 'Color']",http://dbpedia.org/property/adelaideColor
dbpprop,adirai,['adirai'],http://dbpedia.org/property/adirai
dbpprop,aditor,['aditor'],http://dbpedia.org/property/aditor
dbpprop,adjunctAndPartTimeFaculty,"['adjunct', 'And', 'Part', 'Time', 'Faculty']",http://dbpedia.org/property/adjunctAndPartTimeFaculty
dbpprop,adjustedNetProfit,"['adjusted', 'Net', 'Profit']",http://dbpedia.org/property/adjustedNetProfit
dbpprop,admCitydistrictType,"['adm', 'Citydistrict', 'Type']",http://dbpedia.org/property/admCitydistrictType
dbpprop,adminStaff,"['admin', 'Staff']",http://dbpedia.org/property/adminStaff
dbpprop,administradores,['administradores'],http://dbpedia.org/property/administradores
dbpprop,administrationBuildingAddress,"['administration', 'Building', 'Address']",http://dbpedia.org/property/administrationBuildingAddress
dbpprop,administrativeChief1Name,"['administrative', 'Chief', 'Name']",http://dbpedia.org/property/administrativeChief1Name
dbpprop,administrativeChief1Position,"['administrative', 'Chief', 'Position']",http://dbpedia.org/property/administrativeChief1Position
dbpprop,administrativeTeam,"['administrative', 'Team']",http://dbpedia.org/property/administrativeTeam
dbpprop,admission,['admission'],http://dbpedia.org/property/admission
dbpprop,admissionLabel,"['admission', 'Label']",http://dbpedia.org/property/admissionLabel
dbpprop,admissionTime,"['admission', 'Time']",http://dbpedia.org/property/admissionTime
dbpprop,admittedToBar,"['admitted', 'To', 'Bar']",http://dbpedia.org/property/admittedToBar
dbpprop,adoptiveuncles,['adoptiveuncles'],http://dbpedia.org/property/adoptiveuncles
dbpprop,adres,['adres'],http://dbpedia.org/property/adres
dbpprop,advertisingAgency,"['advertising', 'Agency']",http://dbpedia.org/property/advertisingAgency
